thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,5091,0,0.0,0.00018775238521062977,0.0,0.00018775238521062977,0.027373177276530904
0.25,vax2,2021-02-15,5093,0,0.0,-0.0005204545814778711,0.0,-0.0005204545814778711,0.027373177276530904
0.25,vax2,2021-02-15,5095,0,0.0,-0.0600049935274114,0.0,-0.0600049935274114,0.027373177276530904
0.25,vax2,2021-02-15,5097,0,0.0,0.01321960804896838,0.0,0.01321960804896838,0.027373177276530904
0.25,vax2,2021-02-15,5099,0,0.0,0.0037761100962378285,0.0,0.0037761100962378285,0.027373177276530904
0.25,vax2,2021-02-15,5101,0,0.0,0.004816343731991316,0.0,0.004816343731991316,0.027373177276530904
0.25,vax2,2021-02-15,5103,0,0.0,-0.038471504494074014,0.0,-0.038471504494074014,0.027373177276530904
0.25,vax2,2021-02-15,5105,0,0.0,-0.023080579623060433,0.0,-0.023080579623060433,0.027373177276530904
0.25,vax2,2021-02-15,5107,0,0.0,-0.017192061509881725,0.0,-0.017192061509881725,0.027373177276530904
0.25,vax2,2021-02-15,5109,0,0.0,0.009778215623979849,0.0,0.009778215623979849,0.027373177276530904
0.25,vax2,2021-02-15,5111,0,0.0,0.022312801620664523,0.0,0.022312801620664523,0.027373177276530904
0.25,vax2,2021-02-15,5113,0,0.0,-0.016738397999471216,0.0,-0.016738397999471216,0.027373177276530904
0.25,vax2,2021-02-15,5115,0,0.0,-0.003877730297228028,0.0,-0.003877730297228028,0.027373177276530904
0.25,vax2,2021-02-15,5117,0,0.0,-0.017598096616557583,0.0,-0.017598096616557583,0.027373177276530904
0.25,vax2,2021-02-15,5119,1,0.0,0.008570780488739365,0.0,0.008570780488739365,0.027373177276530904
0.25,vax2,2021-02-15,5121,0,0.0,0.007232387147199179,0.0,0.007232387147199179,0.027373177276530904
0.25,vax2,2021-02-15,5123,0,0.0,0.0034202337969429066,0.0,0.0034202337969429066,0.027373177276530904
0.25,vax2,2021-02-15,5125,1,0.0,-0.0035693780724372895,0.0,-0.0035693780724372895,0.027373177276530904
0.25,vax2,2021-02-15,5127,0,0.0,0.0013998343574039885,0.0,0.0013998343574039885,0.027373177276530904
0.25,vax2,2021-02-15,5129,0,0.0,0.01669302219327353,0.0,0.01669302219327353,0.027373177276530904
0.25,vax2,2021-02-15,5131,0,0.0,0.00950309668691959,0.0,0.00950309668691959,0.027373177276530904
0.25,vax2,2021-02-15,5133,0,0.0,-0.03244877617673178,0.0,-0.03244877617673178,0.027373177276530904
0.25,vax2,2021-02-15,5135,0,0.0,0.02353025563907876,0.0,0.02353025563907876,0.027373177276530904
0.25,vax2,2021-02-15,5137,0,0.0,-0.007893233238339856,0.0,-0.007893233238339856,0.027373177276530904
0.25,vax2,2021-02-15,5139,0,0.0,-0.010884881106708806,0.0,-0.010884881106708806,0.027373177276530904
0.25,vax2,2021-02-15,5141,0,0.0,-0.007953112636312518,0.0,-0.007953112636312518,0.027373177276530904
0.25,vax2,2021-02-15,5143,0,0.0,0.014182238234314073,0.0,0.014182238234314073,0.027373177276530904
0.25,vax2,2021-02-15,5145,0,0.0,-0.011513214268499519,0.0,-0.011513214268499519,0.027373177276530904
0.25,vax2,2021-02-15,5147,0,0.0,-0.03251749369276261,0.0,-0.03251749369276261,0.027373177276530904
0.25,vax2,2021-02-15,5149,0,0.0,-0.013292013481179615,0.0,-0.013292013481179615,0.027373177276530904
0.25,vax2,2021-02-15,6001,0,0.0,0.05237427517215732,0.0,0.05237427517215732,0.027373177276530904
0.25,vax2,2021-02-15,6003,0,0.0,-0.0036781082889498756,0.0,-0.0036781082889498756,0.027373177276530904
0.25,vax2,2021-02-15,6005,0,0.0,-0.01028800048212114,0.0,-0.01028800048212114,0.027373177276530904
0.25,vax2,2021-02-15,6007,1,0.0,-0.0008624216549667853,0.0,-0.0008624216549667853,0.027373177276530904
0.25,vax2,2021-02-15,6009,0,0.0,-0.034618615233050536,0.0,-0.034618615233050536,0.027373177276530904
0.25,vax2,2021-02-15,6011,0,0.0,0.01784929035793464,0.0,0.01784929035793464,0.027373177276530904
0.25,vax2,2021-02-15,6013,0,0.0,0.010400051706557742,0.0,0.010400051706557742,0.027373177276530904
0.25,vax2,2021-02-15,6015,0,0.0,-0.018901475183778958,0.0,-0.018901475183778958,0.027373177276530904
0.25,vax2,2021-02-15,6017,0,0.0,-0.01813859120957338,0.0,-0.01813859120957338,0.027373177276530904
0.25,vax2,2021-02-15,6019,0,0.0,0.03179017488203887,0.0,0.03179017488203887,0.027373177276530904
0.25,vax2,2021-02-15,6021,0,0.0,0.01503868027199222,0.0,0.01503868027199222,0.027373177276530904
0.25,vax2,2021-02-15,6023,0,0.0,-0.03240989626117143,0.0,-0.03240989626117143,0.027373177276530904
0.25,vax2,2021-02-15,6025,0,0.0,-0.003966389910530731,0.0,-0.003966389910530731,0.027373177276530904
0.25,vax2,2021-02-15,6027,0,0.0,-0.06918361862262783,0.0,-0.06918361862262783,0.027373177276530904
0.25,vax2,2021-02-15,6029,0,0.0,0.014092307670111612,0.0,0.014092307670111612,0.027373177276530904
0.25,vax2,2021-02-15,6031,0,0.0,-0.004662334253861004,0.0,-0.004662334253861004,0.027373177276530904
0.25,vax2,2021-02-15,6033,0,0.0,-0.038450152798506096,0.0,-0.038450152798506096,0.027373177276530904
0.25,vax2,2021-02-15,6035,0,0.0,0.00478825053236278,0.0,0.00478825053236278,0.027373177276530904
